8454	8945
3283884	327713
93765	11797
67115	230737
3958	6632
782486	327710
6132	6224
6207	292
286768	282405
6125	3192
110109	6134
10053	55435
11338	4869
6146	6135
6175	1660
6235	26354
53372	65274
327714	404161
51742	6597
7534	7531
14460	16909
782486	281742
67530	66694
327688	287014
270106	66480
9861	5720
6161	6727
5071	65018
282199	281091
282394	404188
24053	13405
5683	5695
6217	6141
6205	6156
327670	404188
5928	11091
25873	6154
6175	140032
6231	6157
892	5430
192258	113894
6143	4691
9739	3309
27225	22154
6222	72
225887	17992
9688	648
19172	26443
107932	15182
9349	6210
1938	6122
6949	6175
22030	11797
338073	3283880
6667	5931
6189	6144
6161	6204
29127	79019
23451	9689
3178	6138
892	2959
226646	67130
6129	6157
7846	1938
2549	53358
327691	338061
6158	6139
3312	6427
80153	167227
8342	6229
171137	170912
26961	6134
4215	7531
8021	291874
6227	6224
6124	6128
9045	6210
338084	3283885
1791	30836
6015	10138
1107	9219
8826	3192
8342	6203
6205	9188
23385	5664
6207	6157
6159	6136
6222	3608
3020	4678
7040	3685
327665	338061
3283886	282393
3283884	282289
6152	6209
13207	27176
56288	55114
26168	51230
6143	23405
16909	14461
29127	91687
9861	5692
2965	6597
26961	20102
25497	6396
51564	604
616109	338063
708	10212
162	55435
6124	10528
4001	5925
1107	9126
4297	54881
3312	3303
6222	6201
23521	3609
55681	59
23521	6168
282199	287327
6205	292
4035	351
84148	11091
5591	6426
6152	6144
3673	1101
67160	67949
15481	15505
270106	67949
128312	51386
10467	8089
8971	6136
7067	51691
5688	10213
6142	26354
5717	5693
20091	6203
6160	6202
7846	55299
10239	388552
9919	5966
25873	6727
224912	22631
6204	6206
1973	5515
292	4670
6187	6233
3953	5156
3608	6157
4792	4793
16706	51792
6141	4904
17719	595136
68375	226646
8140	3688
6205	6136
282199	327713
26400	16151
9814	6634
22272	66594
23476	9862
11137	10642
53372	5903
22121	66942
8342	59
6124	6202
6156	6189
6229	6156
23521	4736
23450	8841
7311	6164
67923	415115
355	8837
7307	4904
3312	11335
6169	6147
81027	10969
19713	19247
1176	63915
8342	4904
6840	29665
7846	292
51593	9493
6208	4670
6949	1660
5716	5720
327690	282393
67115	56200
327698	327697
8520	10036
14113	20104
230075	75406
4736	59014
1938	7307
6146	6164
17993	17721
6165	2197
6427	7153
1938	6203
19921	19933
25497	25281
10912	4616
67891	67160
69072	22154
5690	5702
282199	338086
6949	3192
9589	6015
26156	14268
6158	4343
338057	338084
22272	22273
17975	55131
7307	9188
6141	6170
6208	6134
338065	338073
8342	7846
5201	10471
75788	56513
282148	338089
9656	10111
64105	6015
327714	327690
65023	56817
286826	5934
270106	52513
3608	6189
6128	4792
66046	67130
8815	3024
327710	281742
80012	6045
8539	6632
6160	6206
72900	17992
67239	18114
0	3283889
10642	2091
287012	0
6217	2197
6133	6203
14113	19983
26156	984
8907	10053
91687	64946
0	327718
26168	3054
6187	11338
19921	228889
19983	22154
8819	8289
5970	4791
6173	6230
18114	64934
1876	3308
3283884	327710
6141	10514
53372	113975
10362	6629
26122	8089
11198	79019
17975	12607
6158	6165
17975	69072
327702	3283888
6159	6224
327698	282289
57750	69902
26396	109880
65033	29528
1911	7528
641	2188
55681	6208
327714	327713
130340	1174
5576	5566
55299	6203
55737	6643
6222	6204
616871	327713
5427	7155
6602	8289
6143	6224
6187	292
55272	92856
6132	25873
1660	6157
6136	7307
4089	2290
512500	615757
112950	9968
6132	6173
51138	9978
59	6134
310710	54350
55131	7284
66414	17721
6872	11091
6222	6193
51593	2091
6601	2960
6235	6164
9043	5970
7175	8021
11198	4869
6201	6203
287012	327665
7531	7532
2010	3065
281090	338073
2146	23411
6208	6192
84057	230737
55681	7307
8342	6207
6207	6147
64968	64965
83718	81822
6160	6224
327673	327706
5701	5695
5903	8086
79019	6045
9070	3309
9349	6144
55173	60488
25497	23165
6181	6232
18747	19047
287020	338060
55656	26512
3690	8745
613899	616871
66916	17992
6727	59
6168	55299
80314	57634
140032	6144
50628	6634
8342	3608
6732	3183
17995	67184
25942	3309
8971	6160
10066	10067
6235	140032
3178	4673
11198	22837
15114	15194
3609	2091
3297	3298
1874	3065
3921	6147
56200	12181
327691	3283884
6158	6132
7862	64769
6925	9814
11338	59
55717	22837
12826	53421
3921	6224
6774	4086
6601	892
6161	6173
266601	24392
10286	1778
83443	6629
6125	6209
59	6181
56095	52513
327691	3283889
10467	6944
19989	22154
83796	22778
613336	504735
10467	10847
11198	51773
19921	22121
53372	348995
3329	84991
6158	26156
57680	6872
27367	56200
50813	9318
29647	305614
327698	327717
26156	6208
282290	282289
10286	5591
3178	8342
6164	6144
287012	613899
6133	6141
6635	6432
4686	63941
287027	616871
1207	11218
18432	984
114034	79622
11224	6232
6125	3007
6136	4343
6156	4792
613336	505313
228980	270627
19014	230753
14113	14268
4691	6201
270106	6134
10589	2962
6187	6208
6217	55299
26395	26396
29627	60355
5717	10213
20091	1665
3283884	286885
8539	3191
6161	7846
9739	3312
5430	9412
3192	54487
6125	6136
6205	6167
6124	6144
56095	18432
6143	1660
327688	338046
4535	4700
57804	7155
6732	55681
270106	19941
6132	59
225887	66091
27367	17975
6132	55646
68198	66091
6136	6233
6159	6164
3329	10291
5430	25896
64750	57154
51631	9221
9785	1642
4215	7532
6206	6128
0	230753
11338	6134
287012	782486
327673	282289
108143	319944
18432	12607
6187	7307
6129	2197
5903	366016
22630	22601
23350	10362
6229	6139
5001	4999
327680	613899
79706	4904
27176	1665
6143	7311
6732	59
6209	6203
512500	282289
287327	444878
6235	6224
5089	15405
3694	7043
19921	6134
6168	6229
66091	69875
6426	84991
11102	10799
5537	23243
270106	69237
1060	64105
66414	68194
203068	9070
3312	6667
5711	5683
6124	25873
6169	6209
4804	84894
4809	9045
100270792	287327
16842	21885
4809	51602
26156	3007
6160	6129
68198	68342
6125	3608
66108	68197
6209	4670
6124	4673
8021	6396
8350	7090
6139	6136
54386	7013
10523	84991
6176	4736
5499	6421
84733	1912
1161	9318
338075	282405
6632	5499
6396	113929
11171	54960
22974	22121
4809	6209
26156	55681
22319	53612
67264	17991
55840	10847
1938	6181
56095	12181
6124	55131
54386	65057
6138	6191
6124	3178
6169	9349
327714	281742
6125	2197
6124	6155
9688	11335
5591	3609
7088	7090
404161	327691
6201	140032
3329	51639
327713	281570
6143	6159
22974	55989
57804	5557
22272	66694
24414	116692
338079	327704
6147	4670
9282	27034
55367	8738
616317	281555
67160	20102
0	286885
4691	6175
9219	5885
23521	6233
5704	5690
24051	13405
9968	904
338064	338065
5277	5279
5979	53358
51631	51602
51631	6137
17993	67184
6138	6135
5310	9564
11198	55717
6168	6206
6208	6144
5894	3845
5685	5716
6732	2091
55120	2175
338060	616871
9689	6426
4736	6193
287014	338073
19664	4851
54556	10933
67115	19933
26413	83409
65993	7818
6139	9188
6138	7311
6136	6134
19988	67949
6134	10528
10274	3066
10262	6634
16706	109880
3178	6175
338060	287014
23338	7862
51138	1161
25012	24923
4361	580
51602	4904
225887	17718
10912	5111
6142	6233
6141	59
6603	6604
51631	10642
6170	6122
6168	6224
4673	6201
23451	23350
112399	10956
7189	4694
51021	10240
9349	7284
2967	6597
1876	27043
10250	6427
8202	602
3921	6203
6159	7311
24383	83535
12387	21885
67891	12181
228889	230737
5721	10213
17975	66942
6205	2197
6194	6175
9043	8517
12366	19765
338046	444878
26156	3608
64708	1643
54760	6599
1060	55717
66108	66414
10933	10902
23405	6156
10891	6430
64630	59267
1789	11176
26156	1938
10285	6632
22974	228889
8086	55746
6626	5499
28957	51081
6169	6234
6187	6167
8520	4678
8493	51503
6210	6144
5928	6667
6168	4904
287014	286885
67239	10376
10318	4792
19983	69902
51187	4343
7517	5889
17719	54405
14113	55989
226548	59287
5692	5700
92105	54973
615757	338063
6207	6189
3329	84844
230753	216154
5713	5694
2091	6135
6208	6146
5709	5683
4736	6192
51631	6154
26961	19989
5705	5688
6176	6208
338060	286885
1060	6045
6206	6230
4904	6173
27367	19983
55746	65274
1915	55646
20116	66480
3007	6228
13207	11837
8350	25842
5716	5694
6949	55646
6146	6210
10799	10775
11137	6208
66152	66694
3178	6137
51116	28973
2547	7518
327688	338064
7469	7936
6205	4869
67967	18968
338064	3283885
27316	3312
287020	327710
6229	6209
6627	11338
10947	388552
4736	6181
6234	6170
79833	6606
26444	19170
3178	6732
60	8826
9045	7150
10985	10262
23118	1431
7415	347733
615757	286885
6159	6146
227197	68202
60	8815
3308	3326
81929	65274
5356	27339
27367	20104
11198	1060
6235	9188
616109	327670
327690	338063
24052	22288
1956	10254
7533	11140
11891	17918
7090	3020
6206	6157
19047	83767
595136	17991
12388	116777
51187	6165
55989	6134
21974	18969
6128	6170
288380	327713
0	327697
81929	5903
14113	5303
6143	6165
5160	613610
79948	51773
6157	6188
2734	79155
72900	595136
366016	65274
5429	5984
52513	27225
27050	5303
4809	6152
22030	26400
3178	292
6207	6134
8971	51631
6132	6188
6222	6170
6176	6232
5692	5708
6949	55299
12550	12387
327690	338046
81027	6175
60	3065
6194	6192
282394	327717
66495	17721
6176	6168
6181	2197
6133	55646
6142	6155
288380	444878
6130	3921
6139	9045
613610	517402
67134	56200
281796	281201
68094	83766
4297	6872
6210	7150
10250	6633
54556	86
9643	6944
6626	3312
338046	281742
6136	6230
72900	66091
5701	5719
514355	521540
51631	1915
24061	13006
5717	5692
291874	58958
6168	6139
69072	110109
10213	5695
1915	6157
51593	55717
10376	66480
9688	6045
6170	6167
3676	961
3312	8467
10376	19899
7014	25913
6158	6235
6125	4809
3303	3308
2969	1654
10440	10245
72	6202
282517	281742
6125	6157
4297	57680
57342	16202
327702	338063
6154	6192
287012	327690
338089	513520
4736	984
689560	64553
6208	6135
20104	59014
69072	56200
65109	10189
84164	10973
6229	1915
3192	6203
6228	6136
514355	281047
9689	10262
327698	281742
1869	5925
327698	512500
27097	6880
9045	6135
6207	6191
11198	811
6732	7284
5518	51400
6155	6170
9861	5688
27097	6883
3190	1152
11137	55646
338057	338073
66416	66414
19988	6134
2189	4292
7846	6209
86	10902
92105	55174
20091	18432
5711	5682
12466	21454
18747	103988
26168	84148
57122	366016
6205	6154
404161	338064
6124	6167
100009197	100009128
227197	67273
22974	14268
22974	69902
6161	6207
56456	15182
70208	69792
6173	6170
26401	21939
51631	55131
3692	6130
11091	8473
79813	10138
113970	64563
1161	10980
6877	10629
5714	5694
51602	2091
57634	9643
3308	84231
404161	327717
110651	14173
5721	5713
17975	59014
17128	17125
8086	6396
295692	55746
6141	2197
13207	26961
6192	6156
6175	6192
2091	79172
23521	10642
55814	9330
6207	6230
6159	6170
7846	6136
9969	9439
6124	6146
23594	4998
16881	19075
10419	8289
79019	6015
6194	7150
10856	86
6231	9045
113975	79023
6210	6135
51639	6636
225887	67273
6130	6122
5691	5709
9349	6224
6227	6201
999	87
6230	6188
512500	327673
338057	615757
1060	22837
27175	324
404161	327713
5934	91750
10514	4670
5577	5500
56095	6203
338084	327718
107932	56456
5928	79595
6217	6235
23451	10946
327714	288380
6222	6152
6949	6727
23405	4736
23309	5928
91584	8829
26156	64934
6130	6134
18114	20116
65109	10921
327673	327713
6139	140032
338084	338046
24679	25522
10445	11007
57122	58958
6132	8342
6175	6136
6160	55299
55299	6147
4691	6205
327710	338060
7307	55646
3007	6157
6125	6202
5928	10419
1660	3183
79833	6628
6194	1938
5202	7531
55756	26512
11218	79833
6138	6209
6160	2091
17716	69875
54760	2960
6170	6157
6143	6161
25497	53372
10274	5928
23872	20587
16912	26442
55681	55131
5427	7153
55802	80153
6124	11338
25942	51742
6164	2197
6223	6135
57508	65123
78330	68194
6222	292
6143	26156
57680	51230
51602	72
79902	23165
287327	615757
6205	6206
338057	327665
56200	6134
5687	5683
66480	67949
6152	6189
6194	6164
6194	9349
6223	6159
6232	6144
5928	8467
6141	7311
5971	6207
6165	6224
5714	5686
338084	3283886
338063	444878
23521	1915
12181	64934
1293	3678
140032	6181
6125	55646
3609	4736
6128	79155
67003	17711
81027	6128
4809	6201
3609	1938
6949	6170
571	672
19921	1665
6633	10523
8971	6202
7153	7150
29079	81857
26122	10933
6749	1460
6159	6207
51602	6129
316258	12388
4809	6147
6426	10131
23165	113975
6156	7284
6208	55646
327665	281742
69875	407785
6142	6175
10376	67949
282199	338064
54881	11091
8945	4791
1665	10523
91584	9855
338073	286885
6142	4670
6632	6636
66416	67184
27367	19899
6222	51602
51138	10920
4691	6138
4691	72
11461	15289
225887	104130
6732	6173
3688	7057
5719	5683
67115	18432
27176	6203
5928	6594
51699	6643
104130	407785
282394	282517
6925	27339
18114	19941
11137	81027
327704	281570
23091	55717
27225	67949
2597	51295
3283886	338064
9045	6167
12558	12388
2033	5111
6234	6167
10985	9689
6176	6223
6160	6229
29627	25247
1665	6637
6133	292
54881	5929
11073	4361
6205	6208
6159	6171
327697	287014
327718	327706
11224	6134
928	3674
616109	327704
2091	55131
6143	4869
6874	6045
6396	295692
4297	84148
66916	17995
51631	6173
3283885	327717
8454	4791
17975	76808
3621	79595
55851	682
5692	5706
5700	5695
338075	327687
6124	6193
4298	6605
23165	23279
6500	5537
6234	6231
327702	444878
69072	69237
327701	282517
3283885	327665
6210	6171
26122	8607
9349	4904
5903	23165
6133	6193
1789	1786
10445	6874
2091	6202
3329	23450
6204	6235
226182	21343
79706	6634
22827	10131
6161	6165
9349	9045
397169	397136
902	6598
60	7067
27176	22974
17827	53375
11224	55681
51187	6137
11335	22837
407785	68349
6142	6207
7175	57122
108098	66213
3007	6208
6627	5356
0	288380
4691	55646
326346	338073
26156	56200
3068	27250
25643	29692
72900	69875
55120	2178
10248	79897
23451	5591
6129	6227
7156	2189
4928	65274
6159	6156
19339	116838
287020	327670
6125	4904
12503	12501
6204	6229
9529	3303
8350	4175
29631	65134
6205	6157
287020	616871
25873	3921
327698	616109
9111	3024
22121	55989
5713	5682
6159	6152
4691	4904
55299	26354
10055	10054
17993	54405
6132	6122
6173	55131
6627	10291
7311	2197
6137	10514
6130	55299
362281	11097
6626	8493
6632	10419
9611	2874
327688	327673
54512	26019
8607	11091
4361	3981
17993	68342
10524	10933
23450	8464
6158	1938
6152	59
6155	6167
23450	10523
81887	6878
326346	327704
67239	6134
7846	6165
29127	8467
3921	6201
6165	292
3066	545
6143	6218
10940	79897
80223	8766
4691	6152
8342	9221
7307	6137
3690	3685
6203	22154
3283884	404188
4712	4722
6161	25873
5591	8894
63836	81634
11137	6160
24598	24949
327714	282289
55717	8451
3702	3937
4000	3192
10274	11177
404188	338061
5201	538090
6155	6218
6732	3192
9146	6616
327690	3283886
320207	30955
6877	6878
3007	6134
6165	9188
17995	407785
51367	54913
3066	3308
84844	83443
3283886	338079
56200	67949
338084	782486
13134	93837
6176	6189
9349	6191
6208	6232
6160	6168
67891	52513
66091	70316
6152	1938
6129	6156
10376	17975
6925	3608
355	843
2491	25962
10291	6597
2091	6203
327674	3283889
4691	6203
19989	57750
1915	6165
5707	5719
6161	9188
67115	19988
11837	76808
8473	9070
338086	327688
29629	84353
282517	338073
10467	3015
6142	10969
25497	245922
142	22907
17975	20102
6142	6157
10921	9939
405	9978
327665	327670
27043	11091
327691	327717
9611	10847
11171	6636
6601	51592
8065	6921
70208	230753
5216	1213
5283	9091
10920	8451
6176	3007
782486	327706
11140	3326
7534	3326
6133	3921
68198	17716
282394	287327
66916	67130
595136	67184
81027	4736
27367	14268
17975	20947
51021	6183
7862	9767
23521	26156
51503	3312
57332	80012
9861	5686
53372	291874
10514	6122
1147	55294
6228	6167
6161	3608
66993	15182
79902	65274
327660	613899
6234	6201
84844	10291
11224	72
51008	9325
7277	9070
5709	5694
6143	6173
10921	65110
11091	8819
6229	7307
7157	28996
4869	142
7156	2175
10036	554313
0	327673
27225	66480
6125	3921
433759	83796
3694	3685
24137	25942
11198	9589
327714	3283885
70316	17721
6130	10528
51631	6732
6194	72
51602	6136
55717	8467
3329	10131
116563	60668
11073	672
84057	27050
29127	3312
0	512500
81027	6154
66414	104130
10363	55758
25873	3192
6207	6201
282394	281742
5566	5501
67134	19989
3283884	3283888
6176	51631
8482	10154
17995	68197
4149	23269
13405	13527
4809	26354
51023	64949
6143	6137
5715	5695
79801	3309
6205	3007
26156	7307
9689	5499
17975	20116
65134	116643
11772	163
6229	6191
1021	896
59014	6203
3921	6192
64159	113970
107932	22780
5685	5686
23450	8175
6176	10514
404152	550622
10291	10131
154007	11066
27050	59014
22826	83443
50628	6636
64105	8451
58508	9070
615757	282393
67239	22974
5202	505313
0	216154
6233	6171
25497	8021
5694	10213
6208	7150
56095	59014
5144	9590
287012	282394
6205	4904
